citycouncildistrict,total_bldgs,med_yearbuilt,mean_yearbuilt,year
28,44234,1925,1935.04947082579,2017
51,49574,1980,1976.75775028441,2017
49,41592,1945,1950.84445171849,2017
50,51353,1965,1965.16682054522,2017
1,5698,1910,1920.30121509273,2018
2,4969,1910,1919.32273152479,2018
3,8135,1910,1920.0300840584,2018
4,5924,1920,1925.19504819505,2018
6,4139,1910,1914.16836188437,2018
5,3413,1918,1924.64824797844,2018
9,5882,1910,1922.16969341925,2018
8,5687,1920,1935.23778501629,2018
7,3283,1913,1918.11249567324,2018
10,2681,1922,1926.07834507042,2018
17,9385,1931,1951.15719895288,2018
16,3956,1927,1940.22139160437,2018
13,31457,1940,1944.81576774306,2018
22,23192,1931,1939.7843883316,2018
15,8045,1925,1932.95599878197,2018
14,4568,1922,1931.96750524109,2018
11,10607,1930,1937.29138349515,2018
12,22001,1950,1947.71796351882,2018
18,13842,1932,1944.78365883574,2018
0,11,1932,1911.5,2018
33,15434,1915,1924.38437088146,2018
35,13507,1915,1921.59412550067,2018
39,21692,1910,1917.19327731092,2018
38,18614,1920,1924.9014688678,2018
40,11000,1920,1922.87060609599,2018
36,16205,1905,1921.214544722,2018
41,16371,1930,1934.73367439061,2018
37,20144,1915,1925.63490835515,2018
34,16373,1930,1935.04090025422,2018
42,17278,1940,1952.06586572438,2018
45,31998,1925,1928.90120458982,2018
48,24197,1930,1935.67709586843,2018
44,23920,1930,1934.52384548359,2018
47,24782,1930,1938.31624881872,2018
43,32705,1925,1928.65828402367,2018
46,39495,1950,1947.0633722766,2018
26,15631,1931,1938.62484744935,2018
21,17485,1930,1942.48313452879,2018
25,13976,1940,1943.39868970756,2018
30,42344,1930,1934.40438350811,2018
20,22579,1950,1950.77988855116,2018
29,20635,1934,1936.88819920091,2018
24,28679,1941,1944.5925885677,2018
19,51956,1945,1947.7102624466,2018
32,43586,1930,1937.0336908284,2018
23,50301,1945,1944.17250009068,2018
28,44816,1925,1935.13302704396,2018
27,53163,1935,1938.80393393394,2018
31,36907,1950,1951.55750696934,2018
49,41629,1945,1951.17446419237,2018
